City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
274,Parakan,ID,74.23,overcast clouds,-6.4191,106.0081,Mejlis taklim Al-ikhlas
275,Ahipara,NZ,72.54,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
277,Gwanda,ZW,84.02,broken clouds,-20.9333,29.0,Mafax Homeways
278,Balabac,PH,80.33,broken clouds,7.9868,117.0645,Batalla’s Lodging House
280,Bitung,ID,77.85,broken clouds,1.4451,125.1824,K2 Lembeh
282,Conceicao Do Araguaia,BR,83.12,light rain,-8.2578,-49.2647,Tarumã Tropical Hotel
284,Hualmay,PE,73.62,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
285,Tocopilla,CL,71.33,clear sky,-22.092,-70.1979,Hotel Galvarino
286,Iracoubo,GF,81.59,scattered clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
288,Coro,VE,84.38,overcast clouds,11.4045,-69.6734,Federal
289,Acapulco,MX,76.82,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
290,Nortelandia,BR,84.36,broken clouds,-14.4547,-56.8028,Hotel Karysmã
293,Nabire,ID,76.42,light rain,-3.3667,135.4833,Hotel Nusantara Nabire
294,San Cristobal,VE,71.78,broken clouds,7.7669,-72.225,Posada Villaven C.A.
295,Pemba,MZ,81.3,broken clouds,-12.974,40.5178,Guesthouse Samotina
297,Tautira,PF,77.02,light rain,-17.7333,-149.15,Pension Oaoa
302,Bama,NG,86.99,clear sky,11.5221,13.6856,UN Humanitarian Hub
303,Palu,ID,75.92,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
312,Quevedo,EC,72.43,overcast clouds,-1.0333,-79.45,Hotel Tuistico Ejecutivo
315,Nosy Varika,MG,77.45,broken clouds,-20.5833,48.5333,Hotel Volazara
320,Mapiripan,CO,86.52,overcast clouds,2.8892,-72.1256,Monserrate
321,Barinas,VE,84.24,overcast clouds,8.6226,-70.2075,Hotel Mastranto Suite
323,Port-Gentil,GA,84.16,broken clouds,-0.7193,8.7815,Fengshui Residence
325,Manavalakurichi,IN,84.29,light rain,8.1333,77.3,Jebinrio home
327,Santa Vitoria Do Palmar,BR,79.5,clear sky,-33.5189,-53.3681,Hostel Comodoro
328,Los Llanos De Aridane,ES,71.35,clear sky,28.6585,-17.9182,Valle Aridane
329,Sinnamary,GF,81.45,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
330,Caucaia,BR,85.95,broken clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
333,The Valley,AI,81.1,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
334,Diamantino,BR,81.7,broken clouds,-14.4086,-56.4461,Hotel Delta
335,Sao Francisco,BR,83.19,overcast clouds,-15.9486,-44.8644,Hotel Supremo
338,Ngunguru,NZ,74.16,overcast clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
339,Imbituba,BR,80.49,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
345,Mangochi,MW,74.14,moderate rain,-14.4782,35.2645,Fort Johnstone Hotel
350,Atar,MR,89.65,broken clouds,20.5169,-13.0499,Oumou Elghoura
357,Tshikapa,CD,84.47,broken clouds,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
361,Kaeo,NZ,74.32,overcast clouds,-35.1,173.7833,Bushido Lodge
363,Maiduguri,NG,83.39,clear sky,11.8464,13.1603,Kagel Mari Police Station
364,Bambanglipuro,ID,78.67,overcast clouds,-7.95,110.2833,Puri Brata
380,Beni,CD,76.84,overcast clouds,0.5,29.4667,Albertine hotel
381,Takoradi,GH,83.5,clear sky,4.8845,-1.7554,Raybow International Hotel
383,Mangrol,IN,72.9,clear sky,21.1167,70.1167,Hotel The Royal Honours
385,Diego De Almagro,CL,76.3,clear sky,-26.3667,-70.05,hotel luna del desierto
387,Geraldton,AU,70.21,clear sky,-28.7667,114.6,Broadwater Mariner Resort
390,Trincomalee,LK,80.78,few clouds,8.5711,81.2335,Welcombe Hotel
398,Victoria Point,AU,71.91,clear sky,-27.5833,153.3,Bay Retreat Motel
401,Meiganga,CM,89.96,clear sky,6.5167,14.3,DFR HOUSE
403,Padang,ID,77.76,overcast clouds,-0.9492,100.3543,Mercure Padang
407,Muli,MV,81.52,broken clouds,2.9167,73.5667,Medhufushi Island Resort
410,Belmonte,BR,87.8,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
411,Kendari,ID,76.05,overcast clouds,-3.945,122.4989,Hotel Wixel
412,Kavaratti,IN,79.97,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
414,San Vicente,AR,85.89,scattered clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
423,Ilhabela,BR,78.94,broken clouds,-23.7781,-45.3581,Ilha Flat Hotel
427,Manaure,CO,86.11,overcast clouds,11.7751,-72.4445,Hotel Palaaima
430,Salalah,OM,71.67,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
434,Mitsamiouli,KM,84.49,light rain,-11.3847,43.2844,Foyer ADM
435,Faanui,PF,80.71,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
437,Itamaraca,BR,88.48,scattered clouds,-7.7478,-34.8256,Special K's Bed & Breakfast
442,Rio Grande,BR,80.94,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
452,Lazaro Cardenas,MX,77.56,broken clouds,17.9583,-102.2,Baymont by Wyndham Lazaro Cardenas
455,Mackay,AU,76.98,scattered clouds,-21.15,149.2,International Lodge Motel
462,Lakatoro,VU,81.05,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
467,Bandarban,BD,71.31,clear sky,22.1965,92.2262,"Hilltop, Hafazgona, Bandarban"
472,Coruripe,BR,88.34,broken clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
