City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
123,Avera,33.194,-82.5271,59.72,50,2,6.46,US,clear sky
124,Cabedelo,-6.9811,-34.8339,88.47,54,41,11.16,BR,scattered clouds
125,Norman Wells,65.282,-126.8329,-5.76,65,100,3.44,CA,overcast clouds
126,Arkadelphia,34.1209,-93.0538,56.44,81,75,0.0,US,broken clouds
127,San Jose,37.3394,-121.895,61.56,60,20,3.44,US,few clouds
128,Tagusao,9.1924,117.8141,78.33,80,80,5.01,PH,broken clouds
129,Tommot,58.9564,126.2925,-25.28,100,100,1.34,RU,overcast clouds
130,Kununurra,-15.7667,128.7333,80.58,89,66,0.0,AU,broken clouds
131,Mar Del Plata,-38.0023,-57.5575,80.62,61,0,17.0,AR,clear sky
132,Axim,4.8699,-2.2405,83.98,71,16,12.33,GH,few clouds
133,Alyangula,-13.8483,136.4192,76.87,100,55,0.0,AU,broken clouds
134,Karla,59.3723,24.9275,35.56,80,75,18.41,EE,broken clouds
135,Pitimbu,-7.4706,-34.8086,88.39,53,31,11.23,BR,scattered clouds
136,Beyneu,45.3167,55.2,35.4,80,94,13.47,KZ,overcast clouds
137,Mandalgovi,45.7625,106.2708,-1.95,91,28,10.11,MN,scattered clouds
138,Haines Junction,60.7522,-137.5108,0.75,99,30,4.25,CA,scattered clouds
139,Quelimane,-17.8786,36.8883,85.95,66,40,12.66,MZ,scattered clouds
140,Airai,-8.9266,125.4092,61.07,97,100,1.05,TL,overcast clouds
141,Isiro,2.7739,27.616,83.8,31,100,2.46,CD,overcast clouds
142,Talnakh,69.4865,88.3972,-0.8,96,95,11.36,RU,overcast clouds
143,Tessalit,20.1986,1.0114,82.29,5,0,8.7,ML,clear sky
144,Cape Town,-33.9258,18.4232,75.61,52,20,10.36,ZA,few clouds
145,Adrar,20.5022,-10.0711,80.58,10,45,19.55,MR,scattered clouds
146,Rocha,-34.4833,-54.3333,82.15,38,0,10.27,UY,clear sky
